,tibb.new,Freq
1,기업,2749
2,산업,2099
3,년,1630
4,분야,1610
5,제품,1304
6,지원,1298
7,전자,1185
8,사업,1169
9,시장,1126
10,억,1077
11,투자,976
12,세계,973
13,자동차,922
14,업체,910
15,전기,898
16,개,889
17,생산,746
18,중소기업,745
19,성장,718
20,1,710
21,지역,695
22,대표,684
23,부품,681
24,신기술,656
25,lg,652
26,수출,642
27,2,607
28,회사,607
29,선정,585
30,에너지,572
31,일,571
32,전기전자,563
33,소재,552
34,한국,546
35,계획,543
36,우수,537
37,확대,536
38,융합,533
39,교육,529
40,글로벌,511
41,3,509
42,대학,508
43,만,503
44,정보,500
45,미국,495
46,정부,485
47,업종,482
48,경쟁력,481
49,표준,475
50,추진,472
51,환경,466
52,달러,460
53,가능,458
54,경제,455
55,미래,454
56,중국,453
57,센터,452
58,해외,443
59,증가,441
60,인증,437
61,10,434
62,기계,434
63,벤처,426
64,일본,425
65,구축,415
66,진행,410
67,전망,407
68,확보,406
69,규모,404
70,창업,402
71,활용,397
72,혁신,393
73,강화,390
74,화학,390
75,반도체,389
76,기관,387
77,평가,385
78,대상,384
79,발전,383
80,삼성전자,377
81,r,376
82,운영,376
83,대비,373
84,인력,368
85,4,367
86,참여,367
87,중심,365
88,협력,365
89,전략,364
90,d,362
91,매출,357
92,수준,354
93,전문,354
94,월,353
95,명,351
96,5,346
97,사용,337
98,육성,336
99,조,334
100,장비,332
101,국가,329
102,국제,329
103,서비스,329
104,이용,327
105,제조,327
106,공동,323
107,개최,307
108,제공,307
109,예정,305
110,적용,302
111,설립,300
112,첨단,297
113,통신,296
114,시작,291
115,공장,289
116,마련,289
117,예상,286
118,기록,285
119,시대,285
120,우리나라,284
121,경영,282
122,정도,277
123,로봇,276
124,현대중공업,274
125,교수,272
126,특허,272
127,핵심,271
128,양성,270
129,변화,269
130,차지,269
131,진출,268
132,활동,266
133,성공,258
134,노력,256
135,성과,256
136,최고,255
137,설명,250
138,보유,248
139,비중,248
140,설비,248
141,최대,248
142,개선,246
143,6,245
144,향상,243
145,연구소,242
146,조사,242
147,혁명,242
148,디스플레이,240
149,효과,239
150,기업들,238
151,결과,236
152,가치,234
153,20,232
154,기준,232
155,kt,229
156,수요,229
157,행사,228
158,건,227
159,정책,227
160,마크,226
161,관계자,221
162,창출,221
163,현장,221
164,상승,220
165,입주,219
166,sk,217
167,각종,217
168,구성,216
169,섬유,215
170,제조업,215
171,부산,214
172,전문가,214
173,실적,213
174,스마트,212
175,역할,210
176,경기,209
177,주력,208
178,중요,208
179,차세대,208
180,품질,208
181,30,207
182,50,206
183,관리,206
184,프로그램,203
185,8,200
186,기회,198
187,연구원,198
188,중소,196
189,건설,195
190,경쟁,195
191,매출액,194
192,조성,194
193,관심,192
194,아이디어,192
195,연계,191
196,7,190
197,공급,189
198,제도,189
199,구조,187
200,사장,185
201,상황,185
202,시험,185
203,장치,185
204,연구개발,182
205,lcd,181
206,인도,181
207,자리,181
208,iec,180
209,전국,180
210,클러스터,180
211,설계,179
212,종목,179
213,9,178
214,대응,178
215,지식,178
216,적극,175
217,자금,174
218,수상,173
219,외국인,173
220,인재,173
221,일자리,173
222,지속적,172
223,100,171
224,기기,171
225,강조,170
226,방식,170
227,정보통신,170
228,내년,169
229,업계,169
230,조선,168
231,신청,167
232,집중,167
233,참가,167
234,디지털,166
235,바탕,166
236,발생,166
237,공정,163
238,판매,163
239,사회,162
240,기여,161
241,생각,161
242,it,160
243,벤처기업,160
244,취업,160
245,대구,159
246,소프트웨어,159
247,주도,159
248,회장,159
249,tv,158
250,제작,158
251,능력,157
252,발굴,157
253,수익,156
254,수입,156
255,주목,156
256,포함,156
257,단지,155
258,달성,155
259,펀드,155
260,인식,154
261,서울,153
262,하락,153
263,가격,152
264,금속,152
265,대기업,151
266,이익,151
267,규제,150
268,금융,150
269,문화,150
270,상품,150
271,전시회,150
272,차량,149
273,동력,148
274,인정,148
275,바이오,146
276,활성,146
277,개인,145
278,전력,144
279,해결,144
280,주가,143
281,제어,141
282,유지,140
283,개척,139
284,네트워크,139
285,영향,139
286,지속,139
287,코스피,139
288,지적,138
289,선도,137
290,신규,137
291,연간,136
292,15,135
293,안전,135
294,통합,135
295,가능성,134
296,이날,134
297,철강,134
298,탄소,134
299,소개,133
300,역량,133
301,인터넷,133
302,지수,132
303,기간,131
304,데이터,131
305,선박,131
306,인프라,131
307,제시,131
308,부족,130
309,비교,129
310,삼성,129
311,체결,129
312,매수,128
313,방침,128
314,비용,128
315,세계적,128
316,울산,128
317,원,128
318,의미,128
319,출시,128
320,12,127
321,수행,127
322,위기,127
323,컴퓨터,127
324,감소,126
325,자체,126
326,전기차,126
327,40,125
328,ai,125
329,계기,125
330,엔진,125
331,요구,125
332,휴대폰,125
333,마케팅,124
334,업무,123
335,단계,122
336,만큼,122
337,모듈,122
338,유럽,122
339,led,121
340,전환,121
341,독일,120
342,방향,120
343,부가,120
344,솔루션,120
345,절감,120
346,지정,120
347,거래,118
348,자동,118
349,현지,118
350,사람,117
351,주식,117
352,프린팅,117
353,고용,116
354,그동안,116
355,상태,116
356,총회,116
357,프로젝트,116
358,센서,115
359,처리,115
360,광주,114
361,시,114
362,심사,114
363,졸업,114
364,그룹,113
365,위,113
366,유치,113
367,차,113
368,사례,112
369,영상,112
370,장관,112
371,특성,112
372,플라스틱,112
373,디자인,111
374,종합,110
375,증시,110
376,11,109
377,대한민국,109
378,브랜드,109
379,시설,109
380,어려움,109
381,도움,108
382,모델,108
383,무역,108
384,분기,108
385,획득,108
386,도시,107
387,공학,106
388,전시,106
389,포인트,106
390,설치,105
391,점유,105
392,준비,105
393,채용,105
394,천,105
395,활성화,105
396,고객,104
397,카메라,104
398,학과,104
399,협약,104
400,구매,103
401,성능,103
402,재료,103
403,참석,103
404,25,102
405,대전,102
406,배,102
407,신제품,102
408,개월,101
409,보육,101
410,상무,101
411,상용화,101
412,유망,101
413,국산,100
414,대체,100
415,동시,100
416,맞춤,100
417,애플,100
418,영업,100
419,자원,100
420,전년,100
421,수주,99
422,조달,99
423,방안,98
424,비즈니스,98
425,스마트폰,98
426,직원,98
427,학생들,98
428,3d,97
429,교류,97
430,도약,97
431,위성,97
432,추세,97
433,콘텐츠,97
434,평균,97
435,70,96
436,중소기업청,96
437,캠퍼스,96
438,계약,95
439,모집,95
440,물질,95
441,선진국,95
442,의료,95
443,품목,95
444,개국,94
445,추가,94
446,플랫폼,94
447,확인,94
448,과학,93
449,대,93
450,일반,93
451,충북,93
452,가스,91
453,자율,91
454,접목,91
455,학교,91
456,검사,90
457,비율,90
458,수립,90
459,영역,90
460,2000,89
461,극복,89
462,나노,89
463,방법,89
464,지능,89
465,ict,88
466,국산화,88
467,초기,88
468,대회,87
469,도내,87
470,상담,87
471,상반기,87
472,소비자,87
473,연결,87
474,위치,87
475,이사,87
476,조직,87
477,촉진,87
478,특화,87
479,등록,86
480,배출,86
481,진입,86
482,창조,86
